"taxref10.CD_REF","binome.discoweed","family","taxo","binome.discoweed.noinfra","taxref10.CD_REF.infra","jauzein","za","biovigilance","fse","farmbio","cambecedes","lifeform","biogeo","red.FR","red.UK","module","c","z"
96546,"EQUISETUM TELMATEIA","Equisetaceae","binome","EQUISETUM TELMATEIA","96546",1,0,1,0,0,0,"geophyte","Eurasian(meridional)",NA,NA,NA,NA,NA
96580,"ERAGROSTIS BARRELIERI","Poaceae","binome","ERAGROSTIS BARRELIERI","96580",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,NA,NA,NA
96585,"ERAGROSTIS CILIANENSIS","Poaceae","binome","ERAGROSTIS CILIANENSIS","96585",1,0,0,0,0,0,"therophyte","cosmopolitan(thermo)",NA,NA,5,0.4898,-0.26512
96599,"ERAGROSTIS FRANKII","Poaceae","binome","ERAGROSTIS FRANKII","96599",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
96612,"ERAGROSTIS MEXICANA","Poaceae","binome","ERAGROSTIS MEXICANA","96612",1,0,0,0,0,0,"hemicryptophyte","introduced(America centrale)",NA,NA,NA,NA,NA
96613,"ERAGROSTIS MINOR","Poaceae","binome","ERAGROSTIS MINOR","96613",1,0,0,0,0,0,"therophyte","circumboreal",NA,NA,5,0.52632,-0.15594
96614,"ERAGROSTIS MULTICAULIS","Poaceae","binome","ERAGROSTIS MULTICAULIS","96614",1,0,0,0,0,0,"therophyte","introduced(Eastern Asia)",NA,NA,NA,NA,NA
96624,"ERAGROSTIS PECTINACEA","Poaceae","binome","ERAGROSTIS PECTINACEA","96624",1,0,0,0,0,0,"therophyte","subtropical",NA,NA,5,0.375,-0.27876
96628,"ERAGROSTIS PILOSA","Poaceae","binome","ERAGROSTIS PILOSA","96628",1,0,0,0,0,0,"therophyte","cosmopolitan(thermo)",NA,NA,5,0.32,-0.26512
96644,"ERAGROSTIS VIRESCENS","Poaceae","binome","ERAGROSTIS VIRESCENS","96644",1,0,0,0,0,0,"therophyte","introduced(America)",NA,NA,NA,NA,NA
96648,"ERANTHIS HYEMALIS","Ranunculaceae","binome","ERANTHIS HYEMALIS","96648",1,0,0,0,0,0,"geophyte","European(meridional)",NA,NA,NA,NA,NA
611688,"ERIGERON ACRIS","Asteraceae","binome","ERIGERON ACRIS","611688",1,0,0,0,0,0,"hemicryptophyte","holarctic",NA,"LC",1,0.44816,0.58852
96739,"ERIGERON ANNUUS","Asteraceae","binome","ERIGERON ANNUUS","96739",1,1,1,0,0,0,"hemicryptophyte","introduced(North America)",NA,NA,3,0.68777,1.1179
96745,"ERIGERON BLAKEI","Asteraceae","binome","ERIGERON BLAKEI","96745",1,0,0,0,0,0,"therophyte","introduced(South America)",NA,NA,NA,NA,NA
96746,"ERIGERON BONARIENSIS","Asteraceae","binome","ERIGERON BONARIENSIS","96746",1,0,0,0,0,0,"therophyte","introduced(tropical America)",NA,NA,5,NA,NA
96749,"ERIGERON CANADENSIS","Asteraceae","binome","ERIGERON CANADENSIS","96749",1,1,1,1,0,0,"therophyte","cosmopolitan",NA,NA,5,NA,NA
611690,"ERIGERON FLORIBUNDUS","Asteraceae","binome","ERIGERON FLORIBUNDUS","611690",1,0,0,0,0,0,"therophyte","introduced(South America)",NA,NA,9,0,-0.26083
96814,"ERIGERON SUMATRENSIS","Asteraceae","binome","ERIGERON SUMATRENSIS","96814",1,1,1,0,0,0,"therophyte","introduced(Asia)",NA,NA,5,0.387,1.045
96876,"ERODIUM ACAULE","Geraniaceae","binome","ERODIUM ACAULE","96876",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,5,0.1464,0.64927
96887,"ERODIUM BOTRYS","Geraniaceae","binome","ERODIUM BOTRYS","96887",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,5,0,0.63562
96893,"ERODIUM CHIUM","Geraniaceae","binome","ERODIUM CHIUM","96893",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,5,0,-0.046756
96894,"ERODIUM CICONIUM","Geraniaceae","binome","ERODIUM CICONIUM","96894",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,5,0.14539,0.82669
96895,"ERODIUM CICUTARIUM","Geraniaceae","binome","ERODIUM CICUTARIUM","96895",1,1,1,1,0,0,"therophyte","cosmopolitan",NA,"LC",5,0,-0.26512
96911,"ERODIUM LACINIATUM","Geraniaceae","binome","ERODIUM LACINIATUM","96911",1,0,0,0,0,0,"therophyte","Mediterranean","VU",NA,5,0,-0.29241
96919,"ERODIUM MALACOIDES","Geraniaceae","binome","ERODIUM MALACOIDES","96919",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,5,0.022724,0.85398
96925,"ERODIUM MOSCHATUM","Geraniaceae","binome","ERODIUM MOSCHATUM","96925",1,1,0,0,0,0,"therophyte","Mediterranean",NA,"LC",5,0,-0.0058137
97036,"ERUCA SATIVA","Brassicaceae","binome","ERUCA SATIVA","97036",1,0,0,0,0,0,"therophyte","Mediterranean(eury)",NA,NA,1,0.625,-0.18091
97041,"ERUCA VESICARIA","Brassicaceae","binome","ERUCA VESICARIA","97041",1,0,0,0,0,1,"therophyte","Mediterranean",NA,NA,5,0.5,-0.30606
97064,"ERUCASTRUM GALLICUM","Brassicaceae","binome","ERUCASTRUM GALLICUM","97064",1,0,0,0,0,0,"hemicryptophyte","European(meridional)",NA,NA,1,0.57959,-0.098777
97072,"ERUCASTRUM NASTURTIIFOLIUM","Brassicaceae","binome","ERUCASTRUM NASTURTIIFOLIUM","97072",1,0,0,0,0,0,"hemicryptophyte","European(western)",NA,NA,1,0.56516,0.21677
788870,"ERVILIA ARTICULATA","Fabaceae","binome","ERVILIA ARTICULATA","788870",1,0,0,0,0,1,"therophyte","European(meridional)",NA,NA,NA,NA,NA
788868,"ERVILIA LOISELEURII","Fabaceae","binome","ERVILIA LOISELEURII","788868",1,0,0,0,0,0,"therophyte","European(meridional)","DD",NA,5,NA,NA
97088,"ERVILIA SATIVA","Fabaceae","binome","ERVILIA SATIVA","97088",1,0,0,0,0,1,"therophyte","European(meridional)",NA,NA,99,NA,NA
97101,"ERVUM GRACILE","Fabaceae","binome","ERVUM GRACILE","97101",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
97116,"ERVUM PUBESCENS","Fabaceae","binome","ERVUM PUBESCENS","97116",1,0,0,0,0,0,"liana","Mediterranean",NA,NA,5,NA,NA
97128,"ERVUM TETRASPERMUM","Fabaceae","binome","ERVUM TETRASPERMUM","97128",1,1,1,1,1,1,"liana","Eurasian(meridional)",NA,NA,3,NA,NA
97141,"ERYNGIUM CAMPESTRE","Apiaceae","binome","ERYNGIUM CAMPESTRE","97141",1,1,0,0,0,0,"hemicryptophyte","Eurasian",NA,NA,1,0.40736,22.163
97183,"ERYSIMUM CHEIRANTHOIDES","Brassicaceae","binome","ERYSIMUM CHEIRANTHOIDES","97183",1,0,0,1,0,1,"therophyte","holarctic",NA,NA,9,0.19025,0.33086
97434,"EUPATORIUM CANNABINUM","Asteraceae","binome","EUPATORIUM CANNABINUM","97434",1,1,0,0,0,0,"hemicryptophyte","Eurasian(meridional)",NA,"LC",99,0.74945,10.411
97449,"EUPHORBIA ALEPPICA","Euphorbiaceae","binome","EUPHORBIA ALEPPICA","97449",1,0,0,0,0,0,"therophyte","Mediterranean(eastern)",NA,NA,NA,NA,NA
97452,"EUPHORBIA AMYGDALOIDES","Euphorbiaceae","binome","EUPHORBIA AMYGDALOIDES","97452",0,0,0,1,0,0,"hemicryptophyte","Eurasian(meridional)",NA,"LC",1,0.4772,1.3104
97477,"EUPHORBIA CHAMAESYCE","Euphorbiaceae","binome","EUPHORBIA CHAMAESYCE","97477",1,0,0,0,0,0,"therophyte","Mediterranean(eury)",NA,NA,5,0.5,-0.30606
97490,"EUPHORBIA CYPARISSIAS","Euphorbiaceae","binome","EUPHORBIA CYPARISSIAS","97490",1,1,0,0,0,0,"hemicryptophyte","Eurasian",NA,NA,1,0.6054,21.601
97508,"EUPHORBIA ESULA","Euphorbiaceae","binome","EUPHORBIA ESULA","97508",1,0,0,0,0,0,"hemicryptophyte","Eurasian",NA,NA,3,0.55371,0.51733
97511,"EUPHORBIA EXIGUA","Euphorbiaceae","binome","EUPHORBIA EXIGUA","97511",1,1,1,1,0,1,"therophyte","European(meridional)",NA,NA,5,0.30983,8.674
97513,"EUPHORBIA FALCATA","Euphorbiaceae","binome","EUPHORBIA FALCATA","97513",1,0,0,0,0,1,"therophyte","Mediterranean",NA,NA,5,0.34412,0.79939
134378,"EUPHORBIA FALCATA SUBSP. FALCATA","Euphorbiaceae","binome","EUPHORBIA FALCATA","97513",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,5,0.34412,0.79939
97527,"EUPHORBIA GLYPTOSPERMA","Euphorbiaceae","binome","EUPHORBIA GLYPTOSPERMA","97527",1,0,0,0,0,0,"therophyte","introduced(North America)",NA,NA,NA,NA,NA
97537,"EUPHORBIA HELIOSCOPIA","Euphorbiaceae","binome","EUPHORBIA HELIOSCOPIA","97537",1,1,1,1,1,1,"therophyte","cosmopolitan",NA,"LC",5,0.42579,3.4607
97543,"EUPHORBIA HUMIFUSA","Euphorbiaceae","binome","EUPHORBIA HUMIFUSA","97543",1,0,0,0,0,0,"therophyte","introduced(Asia)",NA,NA,NA,NA,NA
97556,"EUPHORBIA LATHYRIS","Euphorbiaceae","binome","EUPHORBIA LATHYRIS","97556",1,0,0,0,0,0,"hemicryptophyte","Mediterranean",NA,"LC",5,0,-0.25147
97571,"EUPHORBIA MACULATA","Euphorbiaceae","binome","EUPHORBIA MACULATA","97571",1,0,0,0,0,0,"therophyte","introduced(North America)",NA,NA,5,0.375,-0.15594
97594,"EUPHORBIA NUTANS","Euphorbiaceae","binome","EUPHORBIA NUTANS","97594",1,0,0,0,0,0,"therophyte","introduced(North America)",NA,NA,NA,NA,NA
97609,"EUPHORBIA PEPLUS","Euphorbiaceae","binome","EUPHORBIA PEPLUS","97609",1,1,1,1,1,0,"therophyte","cosmopolitan",NA,"LC",5,0.04567,1.3999
97616,"EUPHORBIA PLATYPHYLLOS","Euphorbiaceae","binome","EUPHORBIA PLATYPHYLLOS","97616",1,0,0,0,0,1,"therophyte","European(meridional)",NA,"LC",3,0.37827,-0.0094178
97623,"EUPHORBIA PROSTRATA","Euphorbiaceae","binome","EUPHORBIA PROSTRATA","97623",1,0,0,0,0,0,"therophyte","introduced(North America)",NA,NA,5,0.56,-0.27876
97630,"EUPHORBIA PTEROCOCCA","Euphorbiaceae","binome","EUPHORBIA PTEROCOCCA","97630",1,0,0,0,0,0,"therophyte","Mediterranean","DD",NA,NA,NA,NA
97659,"EUPHORBIA SEGETALIS","Euphorbiaceae","binome","EUPHORBIA SEGETALIS","97659",1,1,1,0,0,1,"therophyte","Mediterranean",NA,NA,5,0.14802,2.4098
97666,"EUPHORBIA SERPENS","Euphorbiaceae","binome","EUPHORBIA SERPENS","97666",1,0,0,0,0,0,"therophyte","introduced(North America)",NA,NA,NA,NA,NA
97667,"EUPHORBIA SERRATA","Euphorbiaceae","binome","EUPHORBIA SERRATA","97667",1,0,1,0,0,0,"hemicryptophyte","Mediterranean(western)",NA,NA,5,0.51702,2.3552
97676,"EUPHORBIA STRICTA","Euphorbiaceae","binome","EUPHORBIA STRICTA","97676",1,0,0,1,0,0,"therophyte","European(meridional)",NA,NA,9,0.75571,0.18885
97680,"EUPHORBIA SULCATA","Euphorbiaceae","binome","EUPHORBIA SULCATA","97680",1,0,0,0,0,0,"therophyte","Mediterranean(western)",NA,NA,5,0.22684,0.22619
97685,"EUPHORBIA TAURINENSIS","Euphorbiaceae","binome","EUPHORBIA TAURINENSIS","97685",1,0,0,0,0,0,"therophyte","ligure",NA,NA,1,0.46537,-0.13768
97687,"EUPHORBIA TERRACINA","Euphorbiaceae","binome","EUPHORBIA TERRACINA","97687",1,0,0,0,0,0,"geophyte","Mediterranean","LC",NA,5,0.19753,-0.21053
97935,"FAGOPYRUM ESCULENTUM","Polygonaceae","binome","FAGOPYRUM ESCULENTUM","97935",1,1,1,0,0,0,"therophyte","introduced(Central Asia)",NA,NA,NA,NA,NA
97940,"FAGOPYRUM TATARICUM","Polygonaceae","binome","FAGOPYRUM TATARICUM","97940",1,0,0,0,0,0,"therophyte","introduced(Central Asia)",NA,NA,NA,NA,NA
97947,"FAGUS SYLVATICA","Fagaceae","binome","FAGUS SYLVATICA","97947",0,0,0,1,0,0,"phanaerophyte","European",NA,"LC",1,0.57845,2.4256
97956,"FALCARIA VULGARIS","Apiaceae","binome","FALCARIA VULGARIS","97956",1,1,1,0,0,1,"hemicryptophyte","Eurasian",NA,NA,5,0.58449,-0.14229
97962,"FALLOPIA CONVOLVULUS","Polygonaceae","binome","FALLOPIA CONVOLVULUS","97962",1,1,1,1,1,1,"therophyte","Eurasian(septentrional)",NA,"LC",5,0.67641,0.32173
97963,"FALLOPIA DUMETORUM","Polygonaceae","binome","FALLOPIA DUMETORUM","97963",1,0,0,0,0,0,"therophyte","Eurasian(meridional)",NA,"VU",9,0.7104,-0.047823
97976,"FATSIA JAPONICA","Araliaceae","binome","FATSIA JAPONICA","97976",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
97994,"FEDIA GRACILIFLORA","Caprifoliaceae","binome","FEDIA GRACILIFLORA","97994",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,NA,NA,NA
98228,"FESTUCA FILIFORMIS","Poaceae","binome","FESTUCA FILIFORMIS","98228",0,0,0,1,0,0,"hemicryptophyte","atlantic(eury)",NA,"LC",99,0.57079,6.0279
98280,"FESTUCA HETEROPHYLLA","Poaceae","binome","FESTUCA HETEROPHYLLA","98280",0,1,0,0,0,0,"hemicryptophyte","European(meridional)",NA,NA,1,0.7063,0.14329
98425,"FESTUCA OVINA","Poaceae","binome","FESTUCA OVINA","98425",0,0,0,1,1,0,"hemicryptophyte","Eurasian",NA,"LC",1,0.61488,12.618
98512,"FESTUCA RUBRA","Poaceae","binome","FESTUCA RUBRA","98512",1,1,0,1,1,0,"geophyte","holarctic",NA,NA,3,0.71487,21.601
98651,"FICARIA VERNA","Ranunculaceae","binome","FICARIA VERNA","98651",1,1,1,1,0,0,"geophyte","European(meridional)",NA,NA,9,NA,NA
98669,"FILAGO ARVENSIS","Asteraceae","binome","FILAGO ARVENSIS","98669",1,0,0,0,0,1,"therophyte","Eurasian",NA,NA,5,0.50803,0.67656
NA,"FILAGO CONGESTA",NA,"binome","FILAGO CONGESTA",NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
98681,"FILAGO GERMANICA","Asteraceae","binome","FILAGO GERMANICA","98681",1,0,1,1,0,1,"therophyte","Mediterranean(eury)",NA,NA,5,NA,NA
98687,"FILAGO LUTESCENS","Asteraceae","binome","FILAGO LUTESCENS","98687",1,0,0,0,0,1,"therophyte","Mediterranean",NA,"EN",5,0.17198,0.21255
98694,"FILAGO NEGLECTA","Asteraceae","binome","FILAGO NEGLECTA","98694",1,0,0,0,0,0,"therophyte","European(central)","EX",NA,NA,NA,NA
98698,"FILAGO PYGMAEA","Asteraceae","binome","FILAGO PYGMAEA","98698",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,5,0,1.7957
98699,"FILAGO PYRAMIDATA","Asteraceae","binome","FILAGO PYRAMIDATA","98699",1,0,0,0,0,1,"therophyte","Mediterranean(eury)",NA,"EN",5,0.31803,2.7919
98717,"FILIPENDULA ULMARIA","Rosaceae","binome","FILIPENDULA ULMARIA","98717",0,1,0,0,0,0,"hemicryptophyte","Eurasian",NA,"LC",99,0.67216,13.164
98756,"FOENICULUM VULGARE","Apiaceae","binome","FOENICULUM VULGARE","98756",1,1,1,0,0,0,"hemicryptophyte","cosmopolitan",NA,"LC",5,0.43205,2.0823
98865,"FRAGARIA VESCA","Rosaceae","binome","FRAGARIA VESCA","98865",0,1,1,0,0,0,"hemicryptophyte","cosmopolitan",NA,NA,1,0.64837,3.9472
98921,"FRAXINUS EXCELSIOR","Oleaceae","binome","FRAXINUS EXCELSIOR","98921",0,0,1,1,1,0,"phanaerophyte","European",NA,"LC",9,0.74048,9.1589
99042,"FUMARIA AGRARIA","Papaveraceae","binome","FUMARIA AGRARIA","99042",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,5,0,-0.30606
99050,"FUMARIA BARNOLAE","Papaveraceae","binome","FUMARIA BARNOLAE","99050",1,0,0,0,0,0,"therophyte","Mediterranean",NA,NA,NA,NA,NA
99051,"FUMARIA BASTARDII","Papaveraceae","binome","FUMARIA BASTARDII","99051",1,0,0,0,0,1,"therophyte","Mediterranean",NA,"LC",5,0.10494,-0.087699
99053,"FUMARIA BICOLOR","Papaveraceae","binome","FUMARIA BICOLOR","99053",1,0,0,0,0,0,"therophyte","Mediterranean","DD",NA,NA,NA,NA
99062,"FUMARIA CAPREOLATA","Papaveraceae","binome","FUMARIA CAPREOLATA","99062",1,0,0,0,0,0,"therophyte","Mediterranean(eury)",NA,"LC",5,0.13187,1.1406
99072,"FUMARIA DENSIFLORA","Papaveraceae","binome","FUMARIA DENSIFLORA","99072",1,0,0,0,0,1,"therophyte","cosmopolitan",NA,"LC",5,0.5,-0.30606
99077,"FUMARIA FLABELLATA","Papaveraceae","binome","FUMARIA FLABELLATA","99077",1,0,0,0,0,0,"therophyte","Mediterranean","DD",NA,NA,NA,NA
99090,"FUMARIA KRALIKII","Papaveraceae","binome","FUMARIA KRALIKII","99090",1,0,0,0,0,0,"therophyte","European(meridional)",NA,NA,NA,NA,NA
99106,"FUMARIA MURALIS","Papaveraceae","binome","FUMARIA MURALIS","99106",1,0,0,0,0,0,"therophyte","European(meridional)",NA,"LC",5,0,-0.11499
99108,"FUMARIA OFFICINALIS","Papaveraceae","binome","FUMARIA OFFICINALIS","99108",1,1,1,1,1,0,"therophyte","circumboreal",NA,"LC",5,0.43162,1.4135
99111,"FUMARIA PARVIFLORA","Papaveraceae","binome","FUMARIA PARVIFLORA","99111",1,0,1,0,0,1,"therophyte","cosmopolitan",NA,NA,5,0.35503,-0.18323
